Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Human Resources Manager,Employee Relations Specialist,B.Tech,5 to 12 Years,Valletta,Malta,Part-Time,"Employee Relations Specialists focus on maintaining positive relationships between employees and the organization. They address workplace issues, conduct investigations, mediate conflicts, and promote a healthy and productive work environment.",$63K-$99K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Customer Support Specialist,Help Desk Analyst,BCA,5 to 11 Years,Yerevan,Armenia,Full-Time,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.",$62K-$126K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Content Writer,Content Strategist,BCA,3 to 12 Years,Moroni,Comoros,Contract,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",$59K-$81K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Network Administrator,Network Security Analyst,B.Com,1 to 14 Years,Sri Jayawardenepura Kotte,Sri Lanka,Part-Time,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",$60K-$125K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Chemical Analyst,Quality Control Analyst,B.Tech,1 to 14 Years,The City of Hamilton,Bermuda,Full-Time,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",$60K-$91K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Psychologist,Clinical Psychologist,BCA,1 to 11 Years,Juba,South Sudan,Full-Time,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",$64K-$125K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Software Engineer,Backend Developer,M.Com,2 to 14 Years,Amsterdam,Netherlands,Contract,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.",$61K-$85K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Physician Assistant,Primary Care Physician Assistant,MBA,4 to 11 Years,Nouakchott,Mauritania,Contract,"Provide medical care under the supervision of physicians, conduct examinations, diagnose and treat patients.",$59K-$117K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Financial Advisor,Investment Advisor,MCA,4 to 13 Years,Nur-Sultan,Kazakhstan,Full-Time,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.",$58K-$93K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Litigation Attorney,Trial Attorney,MBA,5 to 14 Years,Juba,South Sudan,Temporary,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",$61K-$107K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Front-End Developer,Web Designer,BBA,5 to 10 Years,Ankara,Turkey,Contract,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.",$55K-$126K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
IT Support Specialist,Help Desk Support Specialist,BCA,4 to 13 Years,Berlin,Germany,Full-Time,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",$56K-$95K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Paralegal,Litigation Paralegal,BA,3 to 15 Years,Tokyo,Japan,Part-Time,"Assist in litigation cases, including document preparation, legal research, and trial support.",$56K-$124K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Legal Counsel,Corporate Attorney,BBA,1 to 13 Years,Valletta,Malta,Contract,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",$57K-$112K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Art Teacher,Art Education Coordinator,B.Tech,1 to 15 Years,Chisinau,Moldova,Intern,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",$64K-$97K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
UX/UI Designer,User Interface Designer,MBA,2 to 13 Years,Charlotte Amalie,Virgin Islands (U.S.),Temporary,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$62K-$99K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Social Media Coordinator,Content Creator,B.Tech,1 to 9 Years,San Jose,Costa Rica,Full-Time,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.",$60K-$93K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Tax Consultant,Business Tax Consultant,M.Com,2 to 12 Years,City of Port Louis,Mauritius,Intern,"A Business Tax Consultant specializes in tax planning and compliance for businesses. They assist with tax strategy, filings, and help organizations minimize tax liabilities.",$55K-$83K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Electrical Designer,Electrical Engineer,M.Tech,1 to 8 Years,Copenhagen,Denmark,Temporary,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",$63K-$120K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
UX Researcher,User Researcher,MCA,5 to 11 Years,Canberra,Australia,Temporary,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",$58K-$121K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Systems Administrator,IT Support Specialist,BCA,2 to 14 Years,San Jose,Costa Rica,Temporary,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",$65K-$98K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Systems Administrator,IT Support Specialist,M.Tech,4 to 15 Years,Brussels,Belgium,Contract,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",$64K-$107K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Customer Service Manager,Service Quality Assurance Manager,M.Com,0 to 15 Years,Baku,Azerbaijan,Intern,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",$62K-$124K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Network Administrator,Network Security Analyst,PhD,4 to 15 Years,Chisinau,Moldova,Intern,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",$60K-$108K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
UI Developer,UX/UI Designer,BA,1 to 8 Years,Bandar Seri Begawan,Brunei,Intern,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,$63K-$114K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Legal Counsel,Employment Lawyer,M.Tech,2 to 15 Years,Skopje,"Macedonia, FYR",Intern,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.",$55K-$128K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Sales Associate,Retail Sales Associate,M.Com,0 to 8 Years,Berlin,Germany,Intern,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",$55K-$83K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Mechanical Engineer,Manufacturing Engineer,MBA,0 to 9 Years,Maputo,Mozambique,Part-Time,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",$56K-$81K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
HR Manager,Human Resources Director,B.Com,5 to 10 Years,Yaren District (de facto),Nauru,Full-Time,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.",$56K-$106K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Environmental Engineer,Sustainability Specialist,BA,4 to 9 Years,Lisbon,Portugal,Part-Time,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",$60K-$98K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Litigation Attorney,Corporate Litigator,B.Com,2 to 11 Years,Yerevan,Armenia,Intern,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.",$63K-$100K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Office Manager,Administrative Manager,MCA,1 to 10 Years,Windhoek,Namibia,Contract,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.",$59K-$118K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
UX/UI Designer,Interaction Designer,B.Tech,3 to 8 Years,Kingstown,St. Vincent and the Grenadines,Temporary,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$65K-$130K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Network Engineer,Network Security Engineer,M.Com,0 to 8 Years,Lusaka,Zambia,Part-Time,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",$65K-$112K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Marketing Analyst,Digital Marketing Analyst,BCA,2 to 14 Years,ReykjavÃ­k,Iceland,Intern,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",$64K-$94K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Network Analyst,Network Performance Analyst,B.Com,4 to 8 Years,Palikir,"Micronesia, Fed. Sts.",Temporary,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.",$55K-$105K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Account Manager,Client Relationship Manager,PhD,2 to 12 Years,Nur-Sultan,Kazakhstan,Contract,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",$59K-$112K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Civil Engineer,Structural Engineer,M.Com,1 to 14 Years,Jakarta,Indonesia,Part-Time,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.",$60K-$99K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Digital Marketing Specialist,Social Media Manager,PhD,1 to 13 Years,Ashgabat,Turkmenistan,Full-Time,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",$64K-$118K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Landscape Architect,Residential Landscape Designer,BCA,3 to 13 Years,San Salvador,El Salvador,Full-Time,Create aesthetically pleasing and functional landscape designs for residential properties.,$60K-$84K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Digital Marketing Specialist,Social Media Manager,M.Com,1 to 14 Years,Jerusalem,Israel,Temporary,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",$59K-$120K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Legal Secretary,Court Clerk,B.Com,3 to 15 Years,San Jose,Costa Rica,Temporary,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",$64K-$114K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Financial Analyst,Investment Analyst,MCA,5 to 9 Years,Mogadishu,Somalia,Full-Time,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",$60K-$120K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Family Lawyer,Mediator,MCA,2 to 9 Years,Douglas,Isle of Man,Contract,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,$55K-$97K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Marketing Analyst,Data Analyst,BCA,1 to 12 Years,Abuja,Nigeria,Part-Time,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$61K-$111K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Veterinarian,Exotic Animal Veterinarian,BA,0 to 14 Years,AsunciÃ³n,Paraguay,Contract,"Provide medical care and treatment to exotic animals, diagnose illnesses, perform surgeries, and educate owners on animal care.",$61K-$93K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Software Tester,Automation Tester,BBA,0 to 9 Years,George Town,Cayman Islands,Temporary,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,$58K-$128K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Network Administrator,Network Security Analyst,BA,4 to 8 Years,Tokyo,Japan,Intern,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",$65K-$83K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
UX/UI Designer,Interaction Designer,BA,4 to 11 Years,Vienna,Austria,Intern,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,$63K-$90K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Project Coordinator,Construction Project Coordinator,MBA,5 to 15 Years,Jakarta,Indonesia,Part-Time,"Construction Project Coordinators assist in managing construction projects, handling documentation, budget tracking, and coordinating subcontractors.",$61K-$109K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Marketing Analyst,Data Analyst,MCA,3 to 9 Years,Kampala,Uganda,Intern,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$62K-$111K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
QA Analyst,Automation Test Engineer,M.Tech,5 to 12 Years,Juba,South Sudan,Intern,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,$58K-$100K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Systems Engineer,Cloud Systems Engineer,B.Tech,5 to 12 Years,Kinshasa,Democratic Republic Of Congo,Temporary,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.",$60K-$122K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Occupational Therapist,Geriatric Occupational Therapist,BA,3 to 13 Years,Paramaribo,Suriname,Temporary,A Geriatric Occupational Therapist works with elderly individuals to address age-related health issues and maintain independence and quality of life.,$59K-$115K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Structural Engineer,Bridge Engineer,BCA,4 to 8 Years,Kuala Lumpur,Malaysia,Part-Time,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.",$60K-$109K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Occupational Therapist,Mental Health Occupational Therapist,M.Com,0 to 11 Years,Dakar,Senegal,Full-Time,A Mental Health Occupational Therapist assists individuals with mental health conditions in improving their daily functioning and coping skills through therapy and interventions.,$64K-$93K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Procurement Manager,Procurement Analyst,MCA,2 to 15 Years,San Marino,San Marino,Contract,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",$64K-$124K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
UX/UI Designer,User Interface Designer,MBA,5 to 11 Years,Berlin,Germany,Full-Time,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$65K-$85K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Public Relations Specialist,Crisis Communication Manager,M.Com,2 to 13 Years,Apia,American Samoa,Contract,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",$58K-$80K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Tax Consultant,International Tax Consultant,MCA,5 to 12 Years,Moscow,Russia,Intern,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",$58K-$81K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
IT Support Specialist,IT Systems Administrator,M.Com,4 to 14 Years,Bratislava,Slovak Republic,Temporary,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",$65K-$117K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
QA Analyst,Software QA Tester,MBA,3 to 14 Years,Riyadh,Saudi Arabia,Full-Time,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.",$64K-$89K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Systems Analyst,Business Systems Analyst,MCA,2 to 15 Years,Tehran,"Iran, Islamic Rep.",Contract,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",$57K-$105K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Interior Designer,Commercial Interior Designer,PhD,4 to 9 Years,Victoria,Seychelles,Full-Time,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,$62K-$127K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Customer Service Manager,Service Quality Assurance Manager,PhD,0 to 14 Years,Dakar,Senegal,Part-Time,"Service Quality Assurance Managers monitor and evaluate service quality in an organization. They develop quality standards, conduct audits, analyze customer feedback, and implement improvements to ensure consistent high-quality service delivery.",$60K-$120K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Office Manager,Administrative Manager,BCA,2 to 15 Years,Port of Spain,Trinidad and Tobago,Intern,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.",$64K-$87K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Systems Administrator,Database Administrator,PhD,2 to 8 Years,Maputo,Mozambique,Full-Time,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.",$63K-$102K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Substance Abuse Counselor,Recovery Coach,PhD,5 to 11 Years,Yaounde,Cameroon,Temporary,"A Recovery Coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.",$55K-$83K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Investment Analyst,Risk Analyst,BBA,5 to 10 Years,Doha,Qatar,Intern,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,$61K-$112K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Finance Manager,Treasury Manager,M.Com,5 to 11 Years,Caracas,"Venezuela, RB",Contract,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",$56K-$81K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
